S.No,Formulation,Ingredients,Ayurvedic Properties,Symptoms,Dosage (Child),Dosage (Adult),Precaution,Preferred way of taking,Before or After meal
90,Dadimastak Churna,"Tawaksheeri, Twak, Patra, Ajamoda, Dhanyaka, Ajaji, Granthi, Pippali, Dadima and Sita",,"poor digestion, irritable bowel syndrome, diarrhea, cough, Gastric disorders, Acidity, Heartburn, Dysentery, Abdominal pain, Digestive disorders",2-5gm,5-10gm,Keep away from the sight of children,with water,after meal
91,Dashanasanskara Churna,"Sunth, Harde, Nagarmoth, Katho, Karpur, Sopari ni rakh, Kala mari, Lavanga, Taj, Khadi Powder",,"bleeding gum, tooth ache, pyorrhoea, bad breath, swollen gums, pain while chewing, loosening of teeth",1-3gm,1-3mg,"pregant,lactation",used as tooth powder,either
92,Eladi Churna,"kali mirch,Pippali,Sonth,Nagkesar,Mustak,Chandan,Kapoor",,"Nausea, vomiting, excessive salivation, loss of appetite, chest pain, throat infection, oral cavity infection",1 apply in app.quantity,1 apply in app.quantity,"Do not use hot water,breastfeeding and clean the affected area before using it",lukewarm water,either
93,Hingvashtaka Churna,"Cuminum cyminum, Ferula foetida, Piper nigrum, Piper longum, Nigella sativa, Trachyspermum ammi,rock salt ",,"bowel movement, flatulence, indigestion, constipation, poor digestion",1.5-2gm,1.5-2gm,"Breastfeeding,Patients with heart disease,Pregnancy",mix with ghee,during meal
94,Lavanabhaskara churna/ bhaskaralavan churna,"Samudra Lavana,Sauvarcala Lavana,Vida Lavana,Saindhava Lavana,Dhanyaka,Pippali,Pippali Mula,Tejpatra",,"Indigestion , Nausea , Gas, Acidity ,Heavy Stomach",3 Teaspoon,3 Teaspoon,"Breastfeeding,Patients with heart disease,Pregnancy",mix with buttermilk  or with lukewarm water,after meal
95,Nishamalaki Churna,"turmeric , amla",,"Diabetes, High blood sugar, Hyperglycemia, Liver health, Skin disorders, Digestive disorders, Weight management, Inflammation",2-3 grams/1-2 tablets,2-3 grams/1-2 tablets,"Breastfeeding,Patients with heart disease,Pregnancy",lukewarm water,before or after meal
96,Pushyanuga Churna,"Senna leaves, Mulethi, Ajwain, Black salt, Nishoth, Haritaki and Svarjikshara",pitta balancing and Kashaya (astringent),"menorrhagia, Metrorrhagia, Menstrual cramps, hormonal problems, PCOS, menstrual disorder, heavy menstrual bleeding, painful periods, mid-cycle bleeding",2-3gram,2-3gram,"Breastfeeding,Patients with heart disese,Pregnancy",with water extracted after water rice,after meal
97,Arjuna Churna,"resh stem bark of Arjuna, Madhuka, Draksha, Dhataki, and Jaggery",,"High blood pressure, chest pain, hypertension, irregular heartbeat, cholestrol, shortness of breath, cardiac weakness, swelling, edema, bronchitis, inflammation in air passage",2-3 gm,2-3 gm twice,"diabetes, pregnant, lactating women",honey or water,after meal
98,Ashvagandha Churna," Ashwagandha (Withania Somnifera) and Vidhara (Argyreia Speciosa),Shunthi (dry ginger powder)",,"nervousness, irritability, sleeplessness, low concentration, weak memory, low energy, inflammation, infertility, inflammation of the lining of the uterus, low stamina, diabetes, wrinkles, dark circles",3 gm,3gm twice,"hypertension, cardiac disorder, obesity, pregnant, lactating women",with water extracted after water rice,after meal
99,Gokshura Churna," Gokshura (Tribulus terrestris), Talmakhana, Shatavari, Kaunch, Nagbala, and Atibala ",madhura shita,"urinary tract disorder, urinary calculi, abdominal colic, dysuria, bloating, urinary obstruction, abdominal tumours, hernia, haemorrhoid, kidney disorder, PCOS, low volume of semen, low sperm count, burning sensation during urination",1-2 gm,1-2gm,"Pregnant and lactating women, diabetic, hypertension",with honey or warm water,either
100,Guduchi Churna,"Copper,Zinc,Manganese,Crude Fibre,fresh guduchi stem", katu and tikta or bitter and pungent rasa,"rejuvenates, improves agni, relieves thirst, burning sensation, diabetes, anemia, fever, and vomiting",500mg,5-10gm,"liver injuries,pregnant and breastfeeding women",with a teaspoon of honey,after meal
101,Haritaki Churna,"Bal haritaki (Terminalia chebula), erand tail (castor oil), sunthi, saindhav, padelon, pimpali",katu laghu ushna,"Constipation, poor digestive system, cough, indigestion, detoxifying, immunity, poor metabolism, gas, bloating, hyper acidity, piles, fistula, diabetes",1-2gm,5-10 gm,Pregnant and lactating women,with water,either
